Sample,Type,Site,Reach,Location,Replicate,Date,Dry Weight (g),Tin Weight (g),Subsample Dry Weight + Tin (g),Subsample Dry Weight (g),Tin + Ash (g),Ash (g),Subsample AFDM (g), Sample OM (g),Sampler Radius (cm),Sampler Area (cm2),CPOM (g/m2),Carbon Mass CPOM (g/m2)
CBPOC,BENTHIC,LP,REF,MID,2,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,MID,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,UPR,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,UPR,2,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,UPR,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,LWR,1,6/15/2021,5.2600,0.9336,1.4600,0.5264,0.9651,0.0315,0.4949,4.9452,8.75,240.53,565.17,293.89
CBPOC,BENTHIC,FH,BDA,LWR,2,6/15/2021,0.2051,0.9339,0.0000,0.0000,0.9776,0.0437,0.0000,0.1614,8.75,240.53,18.45,9.59
CBPOC,BENTHIC,FH,BDA,LWR,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,MID,1,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,MID,2,6/15/2021,0.1928,0.9300,0.0000,0.0000,0.9507,0.0207,0.0000,0.1721,8.75,240.53,19.67,10.23
CBPOC,BENTHIC,FH,BDA,MID,3,6/15/2021,0.0376,0.9300,0.0000,0.0000,0.9383,0.0083,0.0000,0.0293,8.75,240.53,3.35,1.74
CBPOC,BENTHIC,FH,BDA,UPR,1,6/15/2021,12.6100,0.9324,1.9110,0.9786,0.9682,0.0358,0.9428,12.1487,8.75,240.53,1388.42,721.98
CBPOC,BENTHIC,FH,BDA,UPR,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,UPR,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,1,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,1,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,1,6/15/2021,0.0907,0.9331,0.0000,0.0000,0.9389,0.0058,0.0000,0.0849,8.75,240.53,9.70,5.05
CBPOC,BENTHIC,FH,REF,UPR,2,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,3,6/15/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,TP,BDA,LWR,1,6/17/2021,3.7600,0.9346,1.8653,0.9307,1.0172,0.0826,0.8481,3.4263,8.75,240.53,391.58,203.62
CBPOC,BENTHIC,TP,BDA,LWR,2,6/17/2021,0.1809,0.9327,0.0000,0.0000,0.9487,0.0160,0.0000,0.1649,8.75,240.53,18.85,9.80
CBPOC,BENTHIC,TP,BDA,LWR,3,6/17/2021,5.0610,0.9385,0.0000,0.0000,1.2713,0.3328,0.0000,4.7282,8.75,240.53,540.37,280.99
CBPOC,BENTHIC,TP,BDA,MID,1,6/17/2021,6.0800,0.9311,1.6532,0.7221,0.9883,0.0572,0.0000,6.0228,8.75,240.53,688.32,357.93
CBPOC,BENTHIC,TP,BDA,MID,2,6/17/2021,3.0439,0.9391,0.0000,0.0000,1.0654,0.1263,0.0000,2.9176,8.75,240.53,333.44,173.39
CBPOC,BENTHIC,TP,BDA,MID,3,6/17/2021,22.5400,0.9352,1.4939,0.5587,1.0041,0.0689,0.4898,19.7603,8.75,240.53,2258.32,1174.33
CBPOC,BENTHIC,TP,BDA,UPR,1,6/17/2021,4.5000,0.9383,1.5915,0.6532,0.9669,0.0286,0.6246,4.3030,8.75,240.53,491.77,255.72
CBPOC,BENTHIC,TP,BDA,UPR,2,6/17/2021,12.1100,0.9340,2.3432,1.4092,1.1671,0.2331,1.1761,10.1068,8.75,240.53,1155.07,600.64
CBPOC,BENTHIC,TP,BDA,UPR,3,6/17/2021,1.4347,0.9313,0.0000,0.0000,1.0642,0.1329,0.0000,1.3018,8.75,240.53,148.78,77.36
CBPOC,BENTHIC,TP,REF,LWR,1,6/17/2021,0.6512,0.9348,0.0000,0.0000,0.9921,0.0573,0.0000,0.5939,8.75,240.53,67.87,35.29
CBPOC,BENTHIC,TP,REF,LWR,2,6/17/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,TP,REF,LWR,3,6/17/2021,2.1299,0.9358,0.0000,0.0000,1.1952,0.2594,0.0000,1.8705,8.75,240.53,213.77,111.16
CBPOC,BENTHIC,TP,REF,MID,1,6/17/2021,8.2100,0.9345,1.7763,0.8418,0.9781,0.0436,0.7982,7.7848,8.75,240.53,889.69,462.64
CBPOC,BENTHIC,TP,REF,MID,2,6/17/2021,0.6408,0.9300,0.0000,0.0000,0.9890,0.0590,0.0000,0.5818,8.75,240.53,66.49,34.58
CBPOC,BENTHIC,TP,REF,MID,3,6/17/2021,9.0500,0.9362,1.8011,0.8649,0.9738,0.0376,0.8273,8.6566,8.75,240.53,989.32,514.45
CBPOC,BENTHIC,TP,REF,UPR,1,6/17/2021,5.4246,0.9286,0.0000,0.0000,1.0143,0.0857,0.0000,5.3389,8.75,240.53,610.16,317.28
CBPOC,BENTHIC,TP,REF,UPR,2,6/17/2021,0.9624,0.9334,0.0000,0.0000,0.9836,0.0502,0.0000,0.9122,8.75,240.53,104.25,54.21
CBPOC,BENTHIC,TP,REF,UPR,3,6/17/2021,2.2802,0.9324,0.0000,0.0000,0.9852,0.0528,0.0000,2.2274,8.75,240.53,254.56,132.37
CBPOC,BENTHIC,LP,BDA,LWR,1,7/5/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,LWR,2,7/5/2021,0.1767,0.9377,0.0000,0.0000,0.9549,0.0172,0.0000,0.1595,8.75,240.53,18.23,9.48
CBPOC,BENTHIC,LP,BDA,LWR,3,7/5/2021,0.5311,0.9332,0.0000,0.0000,0.9755,0.0423,0.0000,0.4888,8.75,240.53,55.86,29.05
CBPOC,BENTHIC,LP,BDA,MID,1,7/5/2021,5.2545,0.9348,1.7321,0.7973,0.9581,0.0233,0.7740,5.1009,8.75,240.53,582.97,303.14
CBPOC,BENTHIC,LP,BDA,MID,2,7/5/2021,0.0391,0.9335,0.0000,0.0000,0.9360,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,MID,3,7/5/2021,8.6800,0.9335,2.0824,1.1489,1.0044,0.0709,1.0780,8.1443,8.75,240.53,930.78,484.01
CBPOC,BENTHIC,LP,BDA,UPR,1,7/5/2021,15.5100,0.9316,2.7111,1.7795,1.0650,0.1334,1.6461,14.3473,8.75,240.53,1639.69,852.64
CBPOC,BENTHIC,LP,BDA,UPR,2,7/5/2021,0.0905,0.9346,0.0000,0.0000,0.9421,0.0075,0.0000,0.0830,8.75,240.53,9.49,4.93
CBPOC,BENTHIC,LP,BDA,UPR,3,7/5/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,LWR,1,7/5/2021,31.0100,0.9350,2.7198,1.7848,0.9877,0.0527,1.7321,30.0944,8.75,240.53,3439.36,1788.47
CBPOC,BENTHIC,LP,REF,LWR,2,7/5/2021,0.1492,0.9335,0.0000,0.0000,0.9497,0.0162,0.0000,0.1330,8.75,240.53,15.20,7.90
CBPOC,BENTHIC,LP,REF,LWR,3,7/5/2021,0.1534,0.9304,0.0000,0.0000,0.9337,0.0033,0.0000,0.1501,8.75,240.53,17.15,8.92
CBPOC,BENTHIC,LP,REF,MID,1,7/5/2021,5.8100,0.9333,2.1090,1.1757,1.0452,0.1119,1.0638,5.2570,8.75,240.53,600.80,312.42
CBPOC,BENTHIC,LP,REF,MID,2,7/5/2021,4.6200,0.9323,1.6704,0.7381,0.9874,0.0551,0.6830,4.2751,8.75,240.53,488.58,254.06
CBPOC,BENTHIC,LP,REF,MID,3,7/5/2021,26.3400,0.9344,2.7328,1.7984,1.0435,0.1091,1.6893,24.7421,8.75,240.53,2827.67,1470.39
CBPOC,BENTHIC,LP,REF,UPR,1,7/5/2021,1.6110,0.9313,0.0000,0.0000,1.0398,0.1085,0.0000,1.5025,8.75,240.53,171.71,89.29
CBPOC,BENTHIC,LP,REF,UPR,2,7/5/2021,12.5400,0.9329,2.2370,1.3041,1.0276,0.0947,1.2094,11.6294,8.75,240.53,1329.07,691.12
CBPOC,BENTHIC,LP,REF,UPR,3,7/5/2021,0.1025,0.9371,0.0000,0.0000,0.9401,0.0030,0.0000,0.0995,8.75,240.53,11.37,5.91
CBPOC,BENTHIC,FH,BDA,LWR,1,7/6/2021,28.0900,0.9334,2.9695,2.0361,1.3948,0.4614,1.5747,21.7245,8.75,240.53,2482.80,1291.06
CBPOC,BENTHIC,FH,BDA,LWR,2,7/6/2021,0.1834,0.9340,0.0000,0.0000,0.9512,0.0172,0.0000,0.1662,8.75,240.53,18.99,9.88
CBPOC,BENTHIC,FH,BDA,LWR,3,7/6/2021,0.9946,0.9311,0.0000,0.0000,0.9413,0.0102,0.0000,0.9844,8.75,240.53,112.50,58.50
CBPOC,BENTHIC,FH,BDA,MID,1,7/6/2021,59.2000,0.9368,2.7389,1.8021,1.3314,0.3946,1.4075,46.2372,8.75,240.53,5284.25,2747.81
CBPOC,BENTHIC,FH,BDA,MID,2,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,MID,3,7/6/2021,19.1400,0.9355,2.6142,1.6787,1.2658,0.3303,1.3484,15.3740,8.75,240.53,1757.03,913.66
CBPOC,BENTHIC,FH,BDA,UPR,1,7/6/2021,90.7500,0.9333,2.5903,1.6570,1.3105,0.3772,1.2798,70.0916,8.75,240.53,8010.47,4165.45
CBPOC,BENTHIC,FH,BDA,UPR,2,7/6/2021,21.5000,0.9333,2.1704,1.2371,1.1289,0.1956,1.0415,18.1006,8.75,240.53,2068.64,1075.69
CBPOC,BENTHIC,FH,BDA,UPR,3,7/6/2021,7.2200,0.9337,1.7231,0.7894,1.0707,0.1370,0.6524,5.9670,8.75,240.53,681.94,354.61
CBPOC,BENTHIC,FH,REF,LWR,1,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,2,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,3,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,1,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,2,7/6/2021,0.8711,0.9401,0.0000,0.0000,1.0160,0.0759,0.0000,0.7952,8.75,240.53,90.88,47.26
CBPOC,BENTHIC,FH,REF,MID,3,7/6/2021,0.0499,0.9356,0.0000,0.0000,0.9392,0.0036,0.0000,0.0463,8.75,240.53,5.29,2.75
CBPOC,BENTHIC,FH,REF,UPR,1,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,2,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,3,7/6/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,TP,BDA,LWR,1,7/8/2021,12.9300,0.9336,1.9620,1.0284,1.0577,0.1241,0.9043,11.3697,8.75,240.53,1299.39,675.69
CBPOC,BENTHIC,TP,BDA,LWR,2,7/8/2021,139.1200,0.9339,2.2561,1.3222,0.9598,0.0259,1.2963,136.3948,8.75,240.53,15587.98,8105.75
CBPOC,BENTHIC,TP,BDA,LWR,3,7/8/2021,1.8726,0.9376,0.0000,0.0000,1.2509,0.3133,0.0000,1.5593,8.75,240.53,178.21,92.67
CBPOC,BENTHIC,TP,BDA,MID,1,7/8/2021,63.9400,0.9369,1.9419,1.0050,1.0772,0.1403,0.8647,55.0138,8.75,240.53,6287.30,3269.39
CBPOC,BENTHIC,TP,BDA,MID,2,7/8/2021,44.9700,0.9311,2.2558,1.3247,1.1809,0.2498,1.0749,36.4900,8.75,240.53,4170.28,2168.55
CBPOC,BENTHIC,TP,BDA,MID,3,7/8/2021,0.7342,0.9376,0.0000,0.0000,1.1178,0.1802,0.0000,0.5540,8.75,240.53,63.31,32.92
CBPOC,BENTHIC,TP,BDA,UPR,1,7/8/2021,0.1152,0.9346,0.0000,0.0000,0.9783,0.0437,0.0000,0.0715,8.75,240.53,8.17,4.25
CBPOC,BENTHIC,TP,BDA,UPR,2,7/8/2021,0.1844,0.9358,0.0000,0.0000,0.9514,0.0156,0.0000,0.1688,8.75,240.53,19.29,10.03
CBPOC,BENTHIC,TP,BDA,UPR,3,7/8/2021,0.0771,0.9328,0.0000,0.0000,0.9454,0.0126,0.0000,0.0645,8.75,240.53,7.37,3.83
CBPOC,BENTHIC,TP,REF,LWR,1,7/8/2021,4.5900,0.9327,1.2781,0.3454,0.9570,0.0243,0.3211,4.2671,8.75,240.53,487.67,253.59
CBPOC,BENTHIC,TP,REF,LWR,2,7/8/2021,0.2276,0.9353,0.0000,0.0000,0.9486,0.0133,0.0000,0.2143,8.75,240.53,24.49,12.74
CBPOC,BENTHIC,TP,REF,LWR,3,7/8/2021,14.7900,0.9342,1.1133,0.1791,0.9723,0.0381,0.1410,11.6437,8.75,240.53,1330.71,691.97
CBPOC,BENTHIC,TP,REF,MID,1,7/8/2021,30.9100,0.9324,2.1295,1.1971,1.0209,0.0885,1.1086,28.6249,8.75,240.53,3271.41,1701.13
CBPOC,BENTHIC,TP,REF,MID,2,7/8/2021,4.4500,0.9320,1.6358,0.7038,0.9737,0.0417,0.6621,4.1863,8.75,240.53,478.44,248.79
CBPOC,BENTHIC,TP,REF,MID,3,7/8/2021,0.3754,0.9353,0.0000,0.0000,1.0064,0.0711,0.0000,0.3043,8.75,240.53,34.78,18.08
CBPOC,BENTHIC,TP,REF,UPR,1,7/8/2021,0.5618,0.9364,0.0000,0.0000,0.9630,0.0266,0.0000,0.5352,8.75,240.53,61.17,31.81
CBPOC,BENTHIC,TP,REF,UPR,2,7/8/2021,38.7500,0.9344,3.0727,2.1383,1.0730,0.1386,1.9997,36.2383,8.75,240.53,4141.52,2153.59
CBPOC,BENTHIC,TP,REF,UPR,3,7/8/2021,0.0926,0.9330,0.0000,0.0000,0.9388,0.0058,0.0000,0.0868,8.75,240.53,9.92,5.16
CBPOC,BENTHIC,LP,BDA,LWR,1,8/2/2021,1.6918,0.9305,0.0000,0.0000,0.9855,0.0550,0.0000,1.6368,8.75,240.53,187.06,97.27
CBPOC,BENTHIC,LP,BDA,LWR,2,8/2/2021,0.9813,0.9324,0.0000,0.0000,0.9361,0.0037,0.0000,0.9776,8.75,240.53,111.73,58.10
CBPOC,BENTHIC,LP,BDA,LWR,3,8/2/2021,8.3970,2.0900,0.0000,0.0000,2.5366,0.4466,0.0000,7.9504,8.75,240.53,908.62,472.48
CBPOC,BENTHIC,LP,BDA,MID,1,8/2/2021,14.5400,0.9316,2.0517,1.1201,0.9620,0.0304,1.0897,14.1454,8.75,240.53,1616.61,840.64
CBPOC,BENTHIC,LP,BDA,MID,2,8/2/2021,9.3700,0.9354,1.5948,0.6594,0.9463,0.0109,0.6485,9.2151,8.75,240.53,1053.16,547.64
CBPOC,BENTHIC,LP,BDA,MID,3,8/2/2021,38.6700,0.9367,2.5555,1.6188,1.3737,0.4370,1.1818,28.2309,8.75,240.53,3226.39,1677.72
CBPOC,BENTHIC,LP,BDA,UPR,1,8/2/2021,14.3800,0.9325,1.4028,0.4703,0.9635,0.0310,0.4393,13.4321,8.75,240.53,1535.10,798.25
CBPOC,BENTHIC,LP,BDA,UPR,2,8/2/2021,41.5500,0.9349,2.5277,1.5928,1.0034,0.0685,1.5243,39.7631,8.75,240.53,4544.35,2363.06
CBPOC,BENTHIC,LP,BDA,UPR,3,8/2/2021,11.6900,0.9336,1.0948,0.1612,0.9929,0.0593,0.1019,7.3896,8.75,240.53,844.53,439.16
CBPOC,BENTHIC,LP,REF,LWR,1,8/2/2021,33.4800,0.9348,2.3975,1.4627,1.0731,0.1383,1.3244,30.3144,8.75,240.53,3464.51,1801.54
CBPOC,BENTHIC,LP,REF,LWR,2,8/2/2021,3.6500,1.0400,0.0000,0.0000,1.3105,0.2705,0.0000,3.3795,8.75,240.53,386.23,200.84
CBPOC,BENTHIC,LP,REF,LWR,3,8/2/2021,2.5633,1.0495,0.0000,0.0000,1.1486,0.0991,0.0000,2.4642,8.75,240.53,281.62,146.44
CBPOC,BENTHIC,LP,REF,MID,1,8/2/2021,49.3400,0.9326,3.2462,2.3136,1.0377,0.1051,2.2085,47.0986,8.75,240.53,5382.70,2799.00
CBPOC,BENTHIC,LP,REF,MID,2,8/2/2021,4.9600,0.9332,1.8598,0.9266,0.9666,0.0334,0.8932,4.7812,8.75,240.53,546.42,284.14
CBPOC,BENTHIC,LP,REF,MID,3,8/2/2021,4.1300,0.9358,1.8546,0.9188,1.0046,0.0688,0.8500,3.8207,8.75,240.53,436.66,227.06
CBPOC,BENTHIC,LP,REF,UPR,1,8/2/2021,1.0469,0.9272,0.0000,0.0000,0.9348,0.0076,0.0000,1.0393,8.75,240.53,118.78,61.76
CBPOC,BENTHIC,LP,REF,UPR,2,8/2/2021,1.1038,0.9333,0.0000,0.0000,0.9475,0.0142,0.0000,1.0896,8.75,240.53,124.53,64.75
CBPOC,BENTHIC,LP,REF,UPR,3,8/2/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,BDA,LWR,1,8/3/2021,85.5300,0.9328,2.9731,2.0403,1.3561,0.4233,1.6170,67.7851,8.75,240.53,7746.87,4028.37
CBPOC,BENTHIC,FH,BDA,LWR,2,8/3/2021,1.1103,0.9332,0.0000,0.0000,0.9432,0.0100,0.0000,1.1003,8.75,240.53,125.75,65.39
CBPOC,BENTHIC,FH,BDA,LWR,3,8/3/2021,3.1929,1.0387,0.0000,0.0000,1.0759,0.0372,0.0000,3.1557,8.75,240.53,360.65,187.54
CBPOC,BENTHIC,FH,BDA,MID,1,8/3/2021,52.0800,0.9372,2.3220,1.3848,1.2413,0.3041,1.0807,40.6433,8.75,240.53,4644.95,2415.37
CBPOC,BENTHIC,FH,BDA,MID,2,8/3/2021,1.0640,0.9316,0.0000,0.0000,0.9353,0.0037,0.0000,1.0603,8.75,240.53,121.18,63.01
CBPOC,BENTHIC,FH,BDA,MID,3,8/3/2021,25.3400,0.9381,2.3639,1.4258,1.2354,0.2973,1.1285,20.0562,8.75,240.53,2292.14,1191.91
CBPOC,BENTHIC,FH,BDA,UPR,1,8/3/2021,26.6100,0.9322,2.5083,1.5761,1.1156,0.1834,1.3927,23.5136,8.75,240.53,2687.27,1397.38
CBPOC,BENTHIC,FH,BDA,UPR,2,8/3/2021,5.4451,1.0410,0.0000,0.0000,1.4743,0.4333,0.0000,5.0118,8.75,240.53,572.78,297.84
CBPOC,BENTHIC,FH,BDA,UPR,3,8/3/2021,4.1161,0.0402,0.0000,0.0000,1.2909,1.2507,0.0000,2.8654,8.75,240.53,327.47,170.29
CBPOC,BENTHIC,FH,REF,LWR,1,8/3/2021,1.7238,1.0528,0.0000,0.0000,1.1031,0.0503,0.0000,1.6735,8.75,240.53,191.26,99.45
CBPOC,BENTHIC,FH,REF,LWR,2,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,LWR,3,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,MID,1,8/3/2021,1.0049,0.9342,0.0000,0.0000,0.9388,0.0046,0.0000,1.0003,8.75,240.53,114.32,59.45
CBPOC,BENTHIC,FH,REF,MID,2,8/3/2021,1.1784,0.9331,0.0000,0.0000,0.9604,0.0273,0.0000,1.1511,8.75,240.53,131.55,68.41
CBPOC,BENTHIC,FH,REF,MID,3,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,1,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,2,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,FH,REF,UPR,3,8/3/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,TP,BDA,LWR,1,8/5/2021,9.3000,0.9347,2.1351,1.2004,1.0211,0.0864,1.1140,8.6306,8.75,240.53,986.36,512.91
CBPOC,BENTHIC,TP,BDA,LWR,2,8/5/2021,2.9200,0.0940,1.5227,1.4287,0.9774,0.8834,0.5453,1.1145,8.75,240.53,127.37,66.23
CBPOC,BENTHIC,TP,BDA,LWR,3,8/5/2021,10.5700,0.9336,2.0857,1.1521,1.0571,0.1235,1.0286,9.4369,8.75,240.53,1078.51,560.82
CBPOC,BENTHIC,TP,BDA,MID,1,8/5/2021,13.3100,0.9322,1.8859,0.9537,1.1774,0.2452,0.7085,9.8879,8.75,240.53,1130.05,587.63
CBPOC,BENTHIC,TP,BDA,MID,2,8/5/2021,5.4900,0.9344,1.4207,0.4863,0.9631,0.0287,0.4576,5.1660,8.75,240.53,590.40,307.01
CBPOC,BENTHIC,TP,BDA,MID,3,8/5/2021,11.3200,0.9345,2.0581,1.1236,1.1114,0.1769,0.9467,9.5378,8.75,240.53,1090.03,566.82
CBPOC,BENTHIC,TP,BDA,UPR,1,8/5/2021,1.6192,0.9357,0.0000,0.0000,1.0107,0.0750,0.0000,1.5442,8.75,240.53,176.48,91.77
CBPOC,BENTHIC,TP,BDA,UPR,2,8/5/2021,5.1600,0.9323,1.8516,0.9193,1.0822,0.1499,0.7694,4.3186,8.75,240.53,493.56,256.65
CBPOC,BENTHIC,TP,BDA,UPR,3,8/5/2021,2.1800,0.9352,3.1900,2.2548,0.9762,0.0410,2.2138,2.1404,8.75,240.53,244.61,127.20
CBPOC,BENTHIC,TP,REF,LWR,1,8/5/2021,0.9782,0.9369,0.0000,0.0000,0.9406,0.0037,0.0000,0.9745,8.75,240.53,111.37,57.91
